id,text,label
1,senior CBI officer,1
2,number will be blocked in 2 hours and he needs to go under an online investigation,1
3,Press windows-R' fake captcha. Google 'Clickfix.',1
4,send money through the link in her bio,1
5,You are under digital arrest. Stay on the line and follow instructions.,1
6,This is the CBI cybercrime division,1
7,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
8,"For your security, send money to a temporary holding account we provide",1
9,The Income Tax Department communicates notices only through the official portal and registered mail.,0
10,"For any investigation, you will receive written documentation through authorized channels.",0
11,your Aadhaar is linked to illegal activity.,1
12,Do not disconnect the call,1
13,"If you disconnect, we will arrest you immediately",1
14,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
15,Your Aadhaar needs urgent update. Click this link to verify.,1
16,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
17,Court summons are delivered through legally documented procedures and not via video calls.,0
18,Transfer the verification amount immediately to the government escrow account for clearance.,1
19,Law enforcement officers will identify themselves through verifiable credentials.,0
20,No legitimate authority will demand immediate fund transfers for verification.,0
21,Immediately provide your password to restore access.,1
22,Official bank communication never asks customers to move money to a holding account.,0
23,Click this link to verify.,1
24,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
25,Your bank account will be frozen within 30 minutes unless you cooperate,1
26,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
27,The Income Tax Department communicates notices only through the official portal and registered mail.,0
28,your number will be blocked unless you verify now,1
29,"For any investigation, you will receive written documentation through authorized channels.",0
30,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
31,This investigation is confidential.,1
32,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
33,If you speak to anyone or go to the police,1
34,Court summons are delivered through legally documented procedures and not via video calls.,0
35,"Do not tell anyone, not even your family",1
36,Law enforcement officers will identify themselves through verifiable credentials.,0
37,No legitimate authority will demand immediate fund transfers for verification.,0
38,remain silent,1
39,This is TRAI authority,1
40,Official bank communication never asks customers to move money to a holding account.,0
41,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
42,You must stay on video call,1
43,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
44,The Income Tax Department communicates notices only through the official portal and registered mail.,0
45,"For any investigation, you will receive written documentation through authorized channels.",0
46,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
47,do exactly as we say,1
48,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
49,Court summons are delivered through legally documented procedures and not via video calls.,0
50,This is Telecom authority,1
51,Law enforcement officers will identify themselves through verifiable credentials.,0
52,No legitimate authority will demand immediate fund transfers for verification.,0
53,we will show you the evidence and process you now,1
54,Official bank communication never asks customers to move money to a holding account.,0
55,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
56,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
57,The Income Tax Department communicates notices only through the official portal and registered mail.,0
58,Your Aadhaar has been used for child pornography,1
59,"For any investigation, you will receive written documentation through authorized channels.",0
60,This is the Enforcement Directorate,1
61,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
62,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
63,We have initiated action under PMLA,1
64,Court summons are delivered through legally documented procedures and not via video calls.,0
65,Law enforcement officers will identify themselves through verifiable credentials.,0
66,transfer funds for verification,1
67,No legitimate authority will demand immediate fund transfers for verification.,0
68,Official bank communication never asks customers to move money to a holding account.,0
69,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
70,Your SIM has been used for child pornography,1
71,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
72,The Income Tax Department communicates notices only through the official portal and registered mail.,0
73,"For any investigation, you will receive written documentation through authorized channels.",0
74,Were calling from your banks fraud hotline,1
75,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
76,This is the IRS,1
77,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
78,Court summons are delivered through legally documented procedures and not via video calls.,0
79,We are monitoring all your devices and will trace your contacts,1
80,Law enforcement officers will identify themselves through verifiable credentials.,0
81,No legitimate authority will demand immediate fund transfers for verification.,0
82,you owe back taxes and a warrant will be issued unless you pay right now,1
83,Official bank communication never asks customers to move money to a holding account.,0
84,cooperate to avoid consequences,1
85,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
86,Your SIM has been used for illegal gambling,1
87,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
88,The Income Tax Department communicates notices only through the official portal and registered mail.,0
89,"For any investigation, you will receive written documentation through authorized channels.",0
90,Your Aadhaar has been used for illegal gambling,1
91,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
92,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
93,Your banks fraud team detected suspicious activity,1
94,Court summons are delivered through legally documented procedures and not via video calls.,0
95,Law enforcement officers will identify themselves through verifiable credentials.,0
96,you must cooperate or well confiscate assets,1
97,No legitimate authority will demand immediate fund transfers for verification.,0
98,Official bank communication never asks customers to move money to a holding account.,0
99,We will show you a court order and FIR right now,1
100,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
101,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
102,If you dont follow instructions we will publish your private images online,1
103,The Income Tax Department communicates notices only through the official portal and registered mail.,0
104,"For any investigation, you will receive written documentation through authorized channels.",0
105,Your banks fraud team detected suspicious activity,1
106,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
107,We are from the court clerks office,1
108,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
109,Court summons are delivered through legally documented procedures and not via video calls.,0
110,send the medical code right now,1
111,Law enforcement officers will identify themselves through verifiable credentials.,0
112,Transfer the money to a protective account immediately.,1
113,No legitimate authority will demand immediate fund transfers for verification.,0
114,Official bank communication never asks customers to move money to a holding account.,0
115,This is the fraud department,1
116,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
117,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
118,"To protect your account we will move funds to a holding account, give us remote access now",1
119,The Income Tax Department communicates notices only through the official portal and registered mail.,0
120,"For any investigation, you will receive written documentation through authorized channels.",0
121,"We have a court order and an FIR against you, do not go to the police, or itll look like obstruction",1
122,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
123,your number will be disconnected today unless you verify with us.,1
124,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
125,Court summons are delivered through legally documented procedures and not via video calls.,0
126,Law enforcement officers will identify themselves through verifiable credentials.,0
127,We are from tech support and well remotely remove viruses.,1
128,No legitimate authority will demand immediate fund transfers for verification.,0
129,Official bank communication never asks customers to move money to a holding account.,0
130,You must pay an administrative fee for customs clearance of your parcel,1
131,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
132,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
133,your tax refund will be withheld unless you confirm your bank details now,1
134,The Income Tax Department communicates notices only through the official portal and registered mail.,0
135,"For any investigation, you will receive written documentation through authorized channels.",0
136,"This is Microsoft support, your computer is infected",1
137,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
138,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
139,Court summons are delivered through legally documented procedures and not via video calls.,0
140,click the link to pay now.,1
141,Law enforcement officers will identify themselves through verifiable credentials.,0
142,No legitimate authority will demand immediate fund transfers for verification.,0
143,First install TeamViewer and give us the code,1
144,Official bank communication never asks customers to move money to a holding account.,0
145,First install AnyDesk and give us the code,1
146,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
147,Your social media account has been flagged for illegal content,1
148,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
149,The Income Tax Department communicates notices only through the official portal and registered mail.,0
150,"For any investigation, you will receive written documentation through authorized channels.",0
151,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
152,"Dont turn it off, call us and install our support software.",1
153,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
154,Court summons are delivered through legally documented procedures and not via video calls.,0
155,Law enforcement officers will identify themselves through verifiable credentials.,0
156,Weve opened an account in your name on an exchange,1
157,No legitimate authority will demand immediate fund transfers for verification.,0
158,Official bank communication never asks customers to move money to a holding account.,0
159,We found suspicious transactions on your account,1
160,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
161,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
162,Youve won a foreign lottery,1
163,The Income Tax Department communicates notices only through the official portal and registered mail.,0
164,"For any investigation, you will receive written documentation through authorized channels.",0
165,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
166,We are law enforcement,1
167,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
168,Court summons are delivered through legally documented procedures and not via video calls.,0
169,Law enforcement officers will identify themselves through verifiable credentials.,0
170,for your safety you must send the OTP you just received,1
171,No legitimate authority will demand immediate fund transfers for verification.,0
172,Official bank communication never asks customers to move money to a holding account.,0
173,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
174,"to claim, pay the processing fee to this account",1
175,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
176,The Income Tax Department communicates notices only through the official portal and registered mail.,0
177,Your PC has sent illegal content. If you dont cooperate and transfer funds we will report you to the police,1
178,"For any investigation, you will receive written documentation through authorized channels.",0
179,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
180,This is the telecom regulator,1
181,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
182,your relative has been arrested abroad. Wire bail immediately or they will remain detained,1
183,Court summons are delivered through legally documented procedures and not via video calls.,0
184,Law enforcement officers will identify themselves through verifiable credentials.,0
185,to close it you must transfer a small verification fee,1
186,No legitimate authority will demand immediate fund transfers for verification.,0
187,Official bank communication never asks customers to move money to a holding account.,0
188,your passport is invalid,1
189,"For complaints regarding cybercrime, contact the national cybercrime reporting portal.",0
190,This is an official public advisory from the Cyber Crime Cell. We do not request payments over phone calls.,0
191,This is the anti-fraud unit,1
192,The Income Tax Department communicates notices only through the official portal and registered mail.,0
193,your visa is invalid,1
194,"For any investigation, you will receive written documentation through authorized channels.",0
195,Your family member needs urgent medical funds overseas,1
196,"Government agencies do not ask for OTPs, passwords, or remote access to your device.",0
197,"If you receive a suspicious call, disconnect and verify using the official website contact details.",0
198,we will visit your home unless you cooperate over the phone,1
199,Court summons are delivered through legally documented procedures and not via video calls.,0
200,Law enforcement officers will identify themselves through verifiable credentials.,0
